Year,DAX,JKSE,FTSE,SZSE,MERV,BVSP,HSI,EURO,TSX,BSE,MXX,TA,S&P 500,NIKKEI
2009,0.2384994249484078,0.8698103686216543,0.25063268115352133,1.1123968024815212,1.149500682621833,0.826577896138482,0.49411977915912675,0.2547897511740913,0.30690825841088154,0.7302233206412287,0.4352104998776478,0.8879610164453755,0.2345419048834072,0.20569744544608293
2010,0.16059940903957504,0.46132273722416084,0.11083497080375282,-0.09061480921990006,0.5183110993287192,0.010453723683443217,0.06990497869895784,0.020050837635560814,0.1444820529687132,0.22867780036844,0.19061582186836779,0.14931737915041143,0.12782713853760175,-0.030106888663468112
2011,-0.1469210207354229,0.031991277024036036,-0.0649089477968201,-0.2841204783540737,-0.3011020517750582,-0.1810980448741072,-0.19848174990076994,-0.1499992824231834,-0.11069541212786405,-0.2464356029633964,-0.030479219925468648,-0.20058007333792893,-3.183666393691276e-05,-0.1733878382122379
2012,0.2905965245677067,0.12943370927626496,0.07898428017688874,0.022162060360657376,0.15904142111793762,0.07396835465341645,0.22958172607075267,0.14356084994791662,0.04001642865859911,0.25699201520955794,0.17876893269959626,0.07212140038598824,0.1340569092662105,0.22942044595934674
2013,0.254817473184233,-0.009847842474338009,0.16088055189855877,-0.10910898150660553,0.8887463121746904,-0.15495799973749835,0.028226600722049744,0.19468698146879593,0.09555632841717943,0.08977169401504614,-0.01709172081955601,0.15036316457021837,0.2960124957332435,0.5671984573679356
2014,0.026526947234202902,0.22291310180191282,-0.02231979231825354,0.3561813573302617,0.5913507944013987,-0.029122255227444827,0.012814014932867712,0.036508434938649525,0.07420573282408927,0.298938925334161,0.004349277805834717,0.06805601720232413,0.11390633786748117,0.07117045784031828
2015,0.09560503792345743,-0.12128280253789325,-0.019759439283997704,0.14982535889091486,0.36089906835762564,-0.13312136300917876,-0.07162193917148918,0.08884834677553033,-0.11087725508553425,-0.05025127305597288,-0.0038974987435820285,0.02039669795618204,-0.007265997205823549,0.09070897437590619
2016,0.06870046856413348,0.153246034185321,0.11940890485244338,-0.19642891015615904,0.449044882205373,0.38931949250288356,0.003931668433276414,0.021638566052057495,0.17506530433320533,0.019485828040005426,0.06201846169507297,-0.02494634909314608,0.09535022667283655,0.004237649893384043
2017,0.1251260886965242,0.19992461049678534,0.08782461864242852,0.08483636453661991,0.7717690162854898,0.2685672538894517,0.35992673127025254,0.10584755595994833,0.060277612152721316,0.27905951169932863,0.08131655886363753,0.06489341823994521,0.1941996552328793,0.1909856551185467
2018,-0.18259370532799335,-0.025356283802123514,-0.12971710283566162,-0.3442461051940152,0.010609394796260663,0.15032328996623123,-0.1361486244994241,-0.11242905905600875,-0.11636668687377694,0.05906304581909749,-0.15630113879740382,-0.02376922066843823,-0.0623725984962068,-0.12080725835172279
2019,0.2547646562388004,0.016957147266837946,0.1416904393645837,0.4407558057582439,0.375632262108581,0.3194670429073696,0.09069403622671146,0.24847540289142422,0.19133694470107354,0.1437663020664337,0.045646918749494114,0.21136832339727163,0.2887807022515845,0.18195810867014028
2020,-0.005382993687765292,-0.11778972853916647,-0.14364885666516647,0.3094147161511709,0.24573493086396447,-0.07996595387361594,-0.05837089500616355,-0.051110189258636085,-0.006757198366707073,0.07093448065359986,-0.03656851598541999,-0.07862732423102115,0.11723175102157257,0.08756625247508931
